1,1,2,3,4,5,6,,7,8,9,
0.70211,0.70211,0.84357,0.98641,1.70211,1.84357,1.98641,,0.70211,0.14146,0.14284,
0.69687,0.69687,0.83412,0.97247,1.69687,1.83412,1.97247,,0.69687,0.13725,0.13835,
0.68878,0.68878,0.82144,0.95505,1.68878,1.82144,1.95505,,0.68878,0.13266,0.13361,
0.67753,0.67753,0.80579,0.93496,1.67753,1.80579,1.93496,,0.67753,0.12826,0.12917,
0.66368,0.66368,0.78722,0.91213,1.66368,1.78722,1.91213,,0.66368,0.12354,0.12491,
0.64947,0.64947,0.76708,0.8853,1.64947,1.76708,1.8853,,0.64947,0.11761,0.11822,
0.63332,0.63332,0.74509,0.85665,1.63332,1.74509,1.85665,,0.63332,0.11177,0.11156,
0.61345,0.61345,0.72096,0.82856,1.61345,1.72096,1.82856,,0.61345,0.10751,0.1076,
0.59086,0.59086,0.69574,0.80061,1.59086,1.69574,1.80061,,0.59086,0.10488,0.10487,
0.56517,0.56517,0.66868,0.77277,1.56517,1.66868,1.77277,,0.56517,0.10351,0.10409,
0.53737,0.53737,0.63974,0.74335,1.53737,1.63974,1.74335,,0.53737,0.10237,0.10361,
0.50936,0.50936,0.6091,0.71008,1.50936,1.6091,1.71008,,0.50936,0.09974,0.10098,
0.48042,0.48042,0.57646,0.67313,1.48042,1.57646,1.67313,,0.48042,0.09604,0.09667,
0.44857,0.44857,0.54079,0.63409,1.44857,1.54079,1.63409,,0.44857,0.09222,0.0933,
0.41486,0.41486,0.50285,0.59196,1.41486,1.50285,1.59196,,0.41486,0.08799,0.08911,
0.37932,0.37932,0.46215,0.54637,1.37932,1.46215,1.54637,,0.37932,0.08283,0.08422,
0.34257,0.34257,0.41859,0.49645,1.34257,1.41859,1.49645,,0.34257,0.07602,0.07786,
0.30652,0.30652,0.37302,0.44085,1.30652,1.37302,1.44085,,0.30652,0.0665,0.06783,
0.27035,0.27035,0.32557,0.38117,1.27035,1.32557,1.38117,,0.27035,0.05522,0.0556,
0.2322,0.2322,0.27624,0.32035,1.2322,1.27624,1.32035,,0.2322,0.04404,0.04411,
0.1925,0.1925,0.22596,0.25938,1.1925,1.22596,1.25938,,0.1925,0.03346,0.03342,
0.15173,0.15173,0.17537,0.19873,1.15173,1.17537,1.19873,,0.15173,0.02364,0.02336,
0.11006,0.11006,0.12438,0.13882,1.11006,1.12438,1.13882,,0.11006,0.01432,0.01444,
0.06939,0.06939,0.0742,0.07866,1.06939,1.0742,1.07866,,0.06939,0.00481,0.00446,
0.02908,0.02908,0.02484,0.01959,1.02908,1.02484,1.01959,,0.02908,-0.00424,-0.00525,
-0.01262,-0.01262,-0.0239,-0.0363,0.98738,0.97605,0.96371,,-0.01262,0.01128,0.0124,
-0.05533,-0.05533,-0.0718,-0.089,0.94467,0.92815,0.91101,,-0.05533,0.01647,0.0172,
-0.09823,-0.09823,-0.1188,-0.1397,0.90177,0.88122,0.86035,,-0.09823,0.02057,0.0209,
-0.14095,-0.14095,-0.1654,-0.1894,0.85905,0.83461,0.81056,,-0.14095,0.02445,0.024,
-0.18181,-0.18181,-0.2114,-0.2405,0.81819,0.78865,0.75955,,-0.18181,0.02959,0.0291,
-0.22094,-0.22094,-0.2568,-0.2928,0.77906,0.7432,0.7072,,-0.22094,0.03586,0.036,
-0.26018,-0.26018,-0.3025,-0.3448,0.73982,0.69752,0.65516,,-0.26018,0.04232,0.0423,
-0.29918,-0.29918,-0.348,-0.3967,0.70082,0.65201,0.60331,,-0.29918,0.04882,0.0487,
-0.33716,-0.33716,-0.3932,-0.449,0.66284,0.60685,0.55104,,-0.33716,0.05604,0.0558,
-0.37373,-0.37373,-0.438,-0.5019,0.62627,0.56201,0.49807,,-0.37373,0.06427,0.0639,
-0.40772,-0.40772,-0.4819,-0.556,0.59228,0.51812,0.44395,,-0.40772,0.07418,0.0741,
-0.43916,-0.43916,-0.5241,-0.6102,0.56084,0.47587,0.38984,,-0.43916,0.08494,0.0861,
-0.47004,-0.47004,-0.5649,-0.6612,0.52996,0.4351,0.33883,,-0.47004,0.09486,0.0963,
-0.50034,-0.50034,-0.6034,-0.7079,0.49966,0.39661,0.29215,,-0.50034,0.10306,0.1045,
-0.52925,-0.52925,-0.639,-0.7501,0.47075,0.36104,0.24986,,-0.52925,0.10975,0.1111,
-0.55646,-0.55646,-0.6716,-0.788,0.44354,0.32838,0.21199,,-0.55646,0.11514,0.1164,
-0.58093,-0.58093,-0.7009,-0.8222,0.41908,0.29911,0.17784,,-0.58093,0.11997,0.1213,
-0.6026,-0.6026,-0.7265,-0.8523,0.3974,0.27348,0.14771,,-0.6026,0.1239,0.1258,
-0.62317,-0.62317,-0.7491,-0.8768,0.37683,0.25093,0.1232,,-0.62317,0.12593,0.1277,
-0.64279,-0.64279,-0.7686,-0.8958,0.35721,0.23136,0.10425,,-0.64279,0.12581,0.1272,
-0.66034,-0.66034,-0.7852,-0.9108,0.33966,0.21484,0.08915,,-0.66034,0.12486,0.1256,
-0.67544,-0.67544,-0.7993,-0.9235,0.32456,0.20071,0.07654,,-0.67544,0.12386,0.1242,
-0.68712,-0.68712,-0.8111,-0.9353,0.31288,0.18891,0.06474,,-0.68712,0.12398,0.1242,
-0.69527,-0.69527,-0.8206,-0.9466,0.30473,0.17939,0.05339,,-0.69527,0.12533,0.126,
-0.70147,-0.70147,-0.8284,-0.9561,0.29854,0.17165,0.04392,,-0.70147,0.12693,0.1277,
-0.70614,-0.70614,-0.8343,-0.9631,0.29387,0.16567,0.03688,,-0.70614,0.12816,0.1288,
